FilterProfileService filterID WavelengthUnit WavelengthUCD PhotSystem DetectorType Band Instrument Facility ProfileReference CalibrationReference Description Comments WavelengthRef WavelengthMean WavelengthEff WavelengthMin WavelengthMax WidthEff WavelengthCen WavelengthPivot WavelengthPeak WavelengthPhot FWHM Fsun PhotCalID MagSys ZeroPoint ZeroPointUnit Mag0 ZeroPointType AsinhSoft TrasmissionCurve
ivo://svo/fps JWST/NIRCam.F200W Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F200W filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 19886.483516935 20028.146492527 19680.4102017 17249.082485184 22596.641972191 4190.389872561 19920.758215355 19886.483516935 22044.0 19774.84108433 4689.4034095684 11.914876030378 JWST/NIRCam.F200W/Vega Vega 757.65380461946 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F200W
ivo://svo/fps JWST/NIRCam.F210M Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F210M filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 20954.513115415 20982.217923787 20908.350068007 19618.544672231 22337.285421049 2055.3790735177 20970.264415414 20954.513115415 21396.0 20926.742039461 2092.9556602331 9.8109724045601 JWST/NIRCam.F210M/Vega Vega 688.03251394796 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F210M
ivo://svo/fps JWST/NIRCam.F212N Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F212N filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 21213.18248472 21213.973774212 21211.927274831 20900.932977763 21524.994634265 274.27440340689 21216.958037587 21213.18248472 21233.0 21212.45522847 246.02475633297 9.4024271302203 JWST/NIRCam.F212N/Vega Vega 674.83167374035 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F212N
ivo://svo/fps JWST/NIRCam.F250M Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F250M filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 25032.325766786 25049.391569476 25005.80077427 23935.493008153 26177.908427773 1782.9583911921 25035.347980395 25032.325766786 25496.5 25017.183531601 1824.9614459531 5.0551974588382 JWST/NIRCam.F250M/Vega Vega 504.65113524699 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F250M
ivo://svo/fps JWST/NIRCam.F277W Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F277W filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 27617.398037931 27844.642741698 27278.576094025 23673.124318244 32203.222514802 6614.6091124143 27762.830081588 27617.398037931 28991.3 27428.886303298 7064.6352975589 3.5910862170117 JWST/NIRCam.F277W/Vega Vega 430.1399020248 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F277W
ivo://svo/fps JWST/NIRCam.F300M Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F300M filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 29891.21134832 29940.444469418 29818.319259518 27703.546039978 32505.920390405 3255.5781627185 29930.663423494 29891.21134832 29051.5 29850.934233443 3276.8424330832 2.6519147041501 JWST/NIRCam.F300M/Vega Vega 369.64763495866 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F300M
ivo://svo/fps JWST/NIRCam.F323N Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F323N filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 32368.534888242 32369.286671264 32367.304317143 32046.288196528 32761.073117067 384.88993856761 32359.768130498 32368.534888242 32348.5 32367.804453319 386.35931499885 1.9586665955606 JWST/NIRCam.F323N/Vega Vega 320.94274667646 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F323N
ivo://svo/fps JWST/NIRCam.F322W2 Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F322W2 filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 32319.755057761 33334.921422542 30731.382702291 23851.44946962 41234.693242206 11332.545275066 32537.813005081 32319.755057761 39415.4 31420.399418885 15196.730756689 2.0989606942145 JWST/NIRCam.F322W2/Vega Vega 343.30232528434 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F322W2
ivo://svo/fps JWST/NIRCam.F335M Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F335M filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 33620.673080026 33675.235591391 33537.232322948 31203.356330494 36442.229352719 3389.4183845554 33593.663526404 33620.673080026 34942.8 33573.673638078 3576.0001863291 1.6975152259093 JWST/NIRCam.F335M/Vega Vega 298.90992108194 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F335M
ivo://svo/fps JWST/NIRCam.F356W Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F356W filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 35683.619450209 35934.4889657 35287.040491722 30732.911625808 40801.258504962 7239.2951464142 35652.157449383 35683.619450209 38604.7 35456.170831334 8326.8074712862 1.36754014167 JWST/NIRCam.F356W/Vega Vega 271.3926286675 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F356W
ivo://svo/fps JWST/NIRCam.F360M Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F360M filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 36241.760882275 36298.097588999 36148.930726857 33260.335540832 39037.393933034 3584.7956145675 36217.330681244 36241.760882275 37456.1 36186.621637174 3855.305234812 1.2716930639146 JWST/NIRCam.F360M/Vega Vega 260.30648962313 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F360M
ivo://svo/fps JWST/NIRCam.F405N Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F405N filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 40516.525496821 40517.390303609 40515.758914405 40097.867457833 40966.099971704 454.87184788608 40514.332602433 40516.525496821 40523.4 40516.343119312 460.05555259099 0.81999477112789 JWST/NIRCam.F405N/Vega Vega 206.96939908611 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F405N
ivo://svo/fps JWST/NIRCam.F410M Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F410M filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 40822.380379117 40886.543870603 40723.184168815 37763.560510417 44048.409052071 4262.8579023938 40848.595772652 40822.380379117 42050.3 40766.07870333 4351.6499114491 0.80371529679638 JWST/NIRCam.F410M/Vega Vega 208.75045059896 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F410M
ivo://svo/fps JWST/NIRCam.F430M Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F430M filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 42812.575646101 42829.393603083 42784.78806412 41227.683101414 44448.787236365 2295.1444214116 42832.58018141 42812.575646101 42482.7 42795.894458171 2315.3069368744 0.6488094267775 JWST/NIRCam.F430M/Vega Vega 190.69659340759 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F430M
ivo://svo/fps JWST/NIRCam.F444W Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F444W filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 44043.150837738 44393.515120525 43504.264673627 38039.572043804 50995.5 10676.002928393 44405.491515008 44043.150837738 43523.2 43732.035994545 11144.052434142 0.57820726511534 JWST/NIRCam.F444W/Vega Vega 184.1022219016 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F444W
ivo://svo/fps JWST/NIRCam.F460M Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F460M filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 46299.277451031 46315.567661685 46269.863826257 44652.640201372 48146.405666279 2308.9976097615 46317.872804161 46299.277451031 45860.8 46280.765417962 2329.5607509154 0.43536278814704 JWST/NIRCam.F460M/Vega Vega 164.1099180149 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F460M
ivo://svo/fps JWST/NIRCam.F466N Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F466N filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 46544.303736584 46545.305761355 46540.477222667 46021.350197247 47042.621884854 535.40523943323 46548.339825337 46544.303736584 46563.4 46541.156644092 520.35830830914 0.42613770545148 JWST/NIRCam.F466N/Vega Vega 157.77306515275 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F466N
ivo://svo/fps JWST/NIRCam.F470N Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F470N filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 47077.912373555 47078.819812928 47077.839401996 46553.98481001 47566.821551396 510.27235458608 47081.607869655 47077.912373555 47076.9 47078.439899243 494.58838389155 0.41566639580181 JWST/NIRCam.F470N/Vega Vega 159.49947070015 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F470N
ivo://svo/fps JWST/NIRCam.F480M Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F480M filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 48181.945913954 48213.27199619 48139.105123907 45820.0235722 50919.019359765 3141.3708247124 48224.877085394 48181.945913954 47117.4 48159.715297841 3197.4526630828 0.38335792706566 JWST/NIRCam.F480M/Vega Vega 153.22388044927 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F480M
