Wavelength Transmission
1.498741698 0.474786274563371
1.500349790 0.48224324787860195
1.501957882 0.490051988280379
1.503565974 0.49808235367570497
1.505174066 0.506615129755333
1.506782158 0.5154103739531091
1.508390249 0.524427135786088
1.509998341 0.533725749285027
1.511606433 0.543221756627019
1.513214525 0.553008944303694
1.514822617 0.563156570604997
1.516430709 0.573531341522489
1.518038801 0.583986967862633
1.519646893 0.594452496920142
1.521254985 0.604917509682656
1.522863077 0.615495887638707
1.524471169 0.626110742977141
1.526079261 0.636701914271921
1.527687353 0.647181591392973
1.529295445 0.657552079553991
1.530903537 0.667728872685795
1.532511629 0.6775730994384109
1.534119721 0.687070268200396
1.535727813 0.696273963723227
1.537335905 0.704959480761786
1.538943997 0.713245689356232
1.540552088 0.720886936552925
1.542160180 0.727805202339408
1.543768272 0.734030584091372
1.545376364 0.7395391258295091
1.546984456 0.744231684677465
1.548592548 0.748128424304593
1.550200640 0.751124893754519
1.551808732 0.753244823193444
1.553416824 0.754423408880929
1.555024916 0.754685760225161
1.556633008 0.7540778003734551
1.558241100 0.752601631736858
1.559849192 0.750189801117219
1.561457284 0.746741272636641
1.563065376 0.7423986194243529
1.564673468 0.7372777973363149
1.566281560 0.731469387961366
1.567889652 0.7249752085811499
1.569497744 0.717769757112209
1.571105836 0.709899966354662
1.572713927 0.701520159143473
1.574322019 0.692644126116123
1.575930111 0.6833090230513049
1.577538203 0.6735830585613679
1.579146295 0.6635446556208621
1.580754387 0.653273671741475
1.582362479 0.64281818700644
1.583970571 0.632196599634556
1.585578663 0.6214828599176969
1.587186755 0.6106975189188281
1.588794847 0.59988797386312
1.590402939 0.589143588316163
1.592011031 0.578379851724079
1.593619123 0.5676179953885
1.595227215 0.557039709385777
1.596835307 0.546683738384503
1.598443399 0.5365165899528099
1.600051491 0.526476699981422
1.601659583 0.516704394993314
1.603267675 0.5072150782785301
1.604875767 0.497935575050525
1.606483858 0.488829217096688
1.608091950 0.47991370857985105
1.609700042 0.47125954064545605
1.611308134 0.46287226144739
1.612916226 0.45479863817688
1.614524318 0.44703358840104795
1.616132410 0.439523555804207
1.617740502 0.43220238150935303
1.619348594 0.425094176618465
1.620956686 0.418260792105352
1.622564778 0.411712597437634
1.624172870 0.405407851693796
1.625780962 0.39925756668662304
1.627389054 0.393328264259726
1.628997146 0.387588743477667
1.630605238 0.382028845119982
1.632213330 0.37671434280056504
1.633821422 0.371697941204258
1.635429514 0.36682857234367605
1.637037606 0.362131376621588
1.638645697 0.357668057119054
1.640253789 0.35349408860299003
1.641861881 0.34945411235477003
1.643469973 0.34559556103266603
1.645078065 0.341935471399969
1.646686157 0.338445041410189
1.648294249 0.335048868485239
1.649902341 0.331779199975318
1.651510433 0.328654933235802
1.653118525 0.325707797363507
1.654726617 0.322961055371331
1.656334709 0.320339988455995
1.657942801 0.317833855082242
1.659550893 0.31543592643761
1.661158985 0.313255825095816
1.662767077 0.3112047059104
1.664375169 0.309244621954908
1.665983261 0.307339340909461
1.667591353 0.305590012051176
1.669199445 0.30398290121367
1.670807536 0.302488700095713
1.672415628 0.301082251883031
1.674023720 0.299861117800273
1.675631812 0.298779059319589
1.677239904 0.297779060648971
1.678847996 0.296797443373542
1.680456088 0.295923296051443
1.682064180 0.295180834088756
1.683672272 0.294544661401844
1.685280364 0.29397348140844204
1.686888456 0.29355004790767397
1.688496548 0.293224433281324
1.690104640 0.292992265314453
1.691712732 0.292870855344256
1.693320824 0.292860740117956
1.694928916 0.292930205042774
1.696537008 0.293070533962968
1.698145100 0.293393950989341
1.699753192 0.29379212844978503
1.701361284 0.294236913063328
1.702969375 0.294694584870875
1.704577467 0.295185591880017
1.706185559 0.295774790618424
1.707793651 0.296484610529898
1.709401743 0.297351515019445
1.711009835 0.29827520687445497
1.712617927 0.29927135886544504
1.714226019 0.30039462366979497
1.715834111 0.301573485579757
1.717442203 0.302800198543288
1.719050295 0.30407950917834
1.720658387 0.3054781526549
1.722266479 0.306950366022908
1.723874571 0.308492887529974
1.725482663 0.31013098291893704
1.727090755 0.31184957433639904
1.728698847 0.313652068200355
1.730306939 0.315574683697506
1.731915031 0.317536135932917
1.733523123 0.319568640858552
1.735131214 0.32168377423357697
1.736739306 0.32395460335106796
1.738347398 0.326243716302506
1.739955490 0.328563378520601
1.741563582 0.331015366798443
1.743171674 0.333524817799521
1.744779766 0.33609740212564904
1.746387858 0.33878810651003805
1.747995950 0.341610456394406
1.749604042 0.344491218421174
1.751212134 0.34738427515062903
1.752820226 0.35037503616149995
1.754428318 0.353470484834722
1.756036410 0.356721393264964
1.757644502 0.360076812615242
1.759252594 0.363483043315971
1.760860686 0.366932479499459
1.762468778 0.370450474667316
1.764076870 0.374040953644406
1.765684962 0.377719282103415
1.767293053 0.38162266109358906
1.768901145 0.38560366726849205
1.770509237 0.38965311780457695
1.772117329 0.393717895990455
1.773725421 0.39788737172613203
1.775333513 0.402206565480403
1.776941605 0.406667209429176
1.778549697 0.411208568462185
1.780157789 0.415837982953293
1.781765881 0.42051951571277896
1.783373973 0.42526452464060804
1.784982065 0.430089812510611
1.786590157 0.43507803218193997
1.788198249 0.440162617432657
1.789806341 0.445346614919443
1.791414433 0.45063420728755504
1.793022525 0.45599087884826406
1.794630617 0.461386789517687
1.796238709 0.466847626971985
1.797846801 0.472374184962299
1.799454893 0.478007989557888
1.801062984 0.4837401730042
1.802671076 0.489567022251947
1.804279168 0.495550770340972
1.805887260 0.501574161259629
1.807495352 0.507627516648362
1.809103444 0.513794150542568
1.810711536 0.520059645479749
